שם החברה,עיר/אזור,טלפון,מייל (כללי/שירות),כמות רכבים מוערכת
מילניום לוגיסטיקה,מרכז,08-851-1111,info@millennium.co.il,140+
תעבורה (צי רכב קל),רמלה,08-927-9444,info@taavura.co.il,240+
אלבר (צי שינוע),חולון,*3100,info@albar.co.il,150+
אוויס (צי שינוע),לוד,*2722,info@avis.co.il,110+
שלמה סיקסט (שינוע),מרכז,*4944,info@shlomo.co.il,220+
הרץ (צי שינוע),פתח תקווה,*2000,info@hertz.co.il,120+
באדג'ט (צי שינוע),מרכז,03-623-0000,info@budget.co.il,75+
קבוצת לובינסקי,שורק,*3038,info@lubinski.co.il,130+
כלמוביל (שירות),פתח תקווה,*3700,info@colmobil.co.il,160+
מאיר מכוניות (שירות),ראשון לציון,*5757,info@mcar.co.il,140+
סמלת (שירות שטח),פתח תקווה,*8555,info@samelet.com,110+
קרסו מוטורס (שירות),ראשון לציון,*3575,info@carasso.co.il,120+
צ'מפיון מוטורס,בני ברק,*6522,info@champion.co.il,135+
יוניון מוטורס,מרכז,*2102,info@union-motors.co.il,95+
מכשירי תנועה (שירות),פתח תקווה,*3206,info@automotive.co.il,75+
UMI (שירות שטח),לוד,*9252,info@umi.co.il,95+
דלק מוטורס (שירות),ניר צבי,03-913-3333,info@delekmotors.co.il,85+
אלקטרה צריכה (שירות),"ראשל""צ",*2060,info@ecp.co.il,260+
מיניליין (שירות),פתח תקווה,03-925-1111,info@miniline.com,75+
ברימאג שירות שטח,חולון,*3520,info@brimag.co.il,85+
ניופאן שירות שטח,ראשון לציון,1-700-700-727,info@newpan.co.il,95+
ח.י. שירות שטח,כפר סבא,*6680,info@hye.co.il,90+
קריסטל שירות שטח,מרכז,1-700-500-200,info@crystal.co.il,65+
תדיראן (טכנאים),פתח תקווה,*1700,service@tadiran.co.il,170+
טורנדו (טכנאים),בני ברק,1-700-501-505,info@tornado.co.il,110+
אלקו התקנות חשמל,ראשון לציון,03-963-3333,info@elco.co.il,85+
משב הנדסת קירור,חולון,03-557-2222,info@mashav.com,80+
אקון הנדסה (שירות),נתניה,09-865-6444,info@acon.co.il,50+
ישראליפט מעליות,חולון,03-558-0555,info@isralift.co.il,160+
שינדלר נחושתן,פתח תקווה,03-926-0000,info@schindler.com,135+
טיסנקרופ מעליות,חולון,03-558-8555,info@tk.co.il,115+
כור מעליות שירות,בני ברק,03-617-1555,info@koresh.co.il,80+
معליות על-רד (צי),פתח תקווה,03-922-2222,info@alrad.co.il,65+
פזגז שירות טכנאים,פתח תקווה,03-920-4444,info@pazgas.co.il,135+
סופרגז שירות טכנאים,נתניה,09-830-8111,info@supergas.co.il,115+
אמישראגז שירות שטח,מרכז,*6252,info@amisragas.co.il,110+
דור אלון שירותי גז,הרצליה,09-950-0000,info@doralon.co.il,75+
סונול (צי לוגיסטי),נתניה,09-863-0000,info@sonol.co.il,95+
מקורות (צי מרכז),חולון,03-623-7111,info@mekorot.co.il,380+
حברת החשמל (מחוז),ארצי,103,info@iec.co.il,1400+
בזק (טכנאי שטח),מרכז,199,info@bezeq.co.il,1100+
הוט (טכנאי שטח),מרכז,*6900,info@hot.net.il,550+
יס (YES) טכנאי שטח,מרכז,*2080,info@yes.co.il,500+
קבוצת אשטרום (ניהול ואחזקה),מרכז,03-623-1411,info@ashtrom.co.il,180+
רדימיקס (צי מערבלי בטון ושירות),מרכז,03-928-1111,info@readymix.co.il,250+
הנסון ישראל (צי תובלה ושירות),מרכז,08-927-2222,info@hanson.co.il,220+
רביב הנדסה ותשתיות,נתניה,09-865-1111,info@raviv.co.il,45+
קבוצת יצחקי (צי פיקוח שטח),מרכז,03-961-1111,info@itzhaki.co.il,40+
אוליצקי עבודות עפר,חולון,03-550-8000,info@olizki.co.il,110+
חפירה וחצי (תשתיות),מרכז,03-902-1111,info@hafira.co.il,35+
טרמוקיר (צי סוכנים ושירות),נתניה,09-863-8333,info@thermokir.co.il,35+
טמבור (צי שיווק והפצה),נתניה,*6477,info@tambour.co.il,65+
נירלט (צי שיווק והפצה),נתניה,1-700-500-057,info@nirlat.com,50+
דלק ישראל (צי רכב מנהלי),נתניה,09-863-1111,info@delek.co.il,80+
דור אלון (צי רכב תפעולי),מרכז,09-950-0000,info@doralon.co.il,75+
פז (צי רכב ותפעול שטח),מרכז,09-863-1111,info@paz.co.il,120+
סונול (צי שטח ולוגיסטיקה),נתניה,09-863-0000,info@sonol.co.il,85+
בי פט (BePet) הפצה,מרכז,03-902-1111,info@bepet.co.il,25+
ביו-פט (צי הפצה),מרכז,03-902-1111,info@biopet.co.il,45+
معברות (צי סוכני שטח),מרכז,09-898-1111,info@maabarot.co.il,40+
אסם-נסטלה (צי סוכנים),שוהם,03-928-2222,info@osem.co.il,150+
שטראוס גרופ (צי מפיצים),פתח תקווה,*6860,info@strauss.co.il,180+
مחלבות גד (צי קירור),רחובות,08-933-2222,info@gad-dairy.co.il,95+
טרה (צי מפיצים וסוכנים),מרכז,1-700-703-333,info@tara.co.il,160+
נטו מלינדה (צי לוגיסטי),מרכז,08-851-1111,info@neto.co.il,130+
יוניליוור ישראל (צי רכב),"נתב""ג",1-800-780-780,info@unilever.co.il,140+
דיפלומט (צי סוכנים מורחב),מרכז,03-976-6666,info@diplomat.co.il,120+
סנו (צי שיווק ארצי),הוד השרון,09-747-3222,info@sano.co.il,110+
חוגלה קימברלי (צי רכב),בני ברק,03-617-6111,info@kcc.com,100+
קבוצת גולף (צי סוכנים),נתניה,09-892-3333,info@golf.co.il,45+
دלתה (צי רכב מנהלה),מרכז,03-608-1111,info@delta.co.il,40+
פוקס (FOX) צי רכב,מרכז,03-977-1111,info@fox.co.il,130+
קסטרו (צי רכב מנהלה),בת ים,03-555-4444,info@castro.co.il,75+
רנואר (צי רכב סוכנים),ראשון לציון,03-961-2222,info@renuar.co.il,65+
המשביר לצרכן (צי רכב),מרכז,03-608-1111,info@mashbir.co.il,50+
מקס סטוק (צי לוגיסטי),מרכז,03-611-2222,info@maxstock.co.il,50+
הום סנטר (צי אחזקה),מרכז,1-700-70-77-88,info@homecenter.co.il,40+
אייס (ACE) צי שירות,מרכז,1-700-700-054,info@ace.co.il,45+
מחסני חשמל (צי טכנאים),מרכז,1-700-50-40-50,info@payless.co.il,65+
שקם אלקטריק (צי שירות),מרכז,*6131,info@shekem.co.il,35+
טרקלין חשמל (צי שירות),מרכז,*6464,info@traklin.co.il,45+
אלקטרה מוצרי צריכה (צי),ראשון לציון,*2060,info@ecp.co.il,240+
ברימאג שירות (צי רכב),חולון,*3520,info@brimag.co.il,90+
ניופאן שירות (צי רכב),ראשון לציון,1-700-700-727,info@newpan.co.il,85+
ח.י. שירות (צי רכב),כפר סבא,*6680,info@hye.co.il,75+
תדיראן (צי רכב שירות),פתח תקווה,*1700,service@tadiran.co.il,130+
טורנדו (צי רכב שירות),בני ברק,1-700-501-505,info@tornado.co.il,95+
סימנס ישראל (צי הנדסה),ראש העין,09-854-1000,info@siemens.co.il,75+
ABB ישראל (צי שירות),פתח תקווה,03-920-9111,info@abb.co.il,50+
שניידר אלקטריק (צי שירות),נתניה,09-892-0200,info@se.com,60+
אלמור חשמל (צי תשתיות),חדרה,04-637-4141,info@el-mor.co.il,110+
أפקון (צי רכב בקרה),פתח תקווה,03-925-1333,info@afcon.co.il,120+
מנוליד חרות (צי שירות),פתח תקווה,03-921-2222,info@manolid.co.il,110+
לסיכו (Lesico) צי שירות,חולון,03-557-0000,info@lesico.co.il,115+
אוליצקי (צי תשתיות),חולון,03-550-8000,info@olizki.co.il,140+
دניה סיבוס (צי רכב הנדסי),אור יהודה,03-538-3111,info@denya.co.il,250+
שיכון ובינוי (צי פיקוח),"נתב""ג",03-630-3333,info@shikun.co.il,300+
שפיר הנדסה (צי פיקוח),פתח תקווה,03-915-1515,info@shapir.co.il,400+
אשטרום (צי רכב שטח),מרכז,03-623-1411,info@ashtrom.co.il,180+
אלקטרה בנייה (צי רכב),נתניה,074-717-5555,info@electra.co.il,210+
קבוצת אורון (צי רכב),נתניה,*5660,office@oron-group.co.il,100+
צאת השמש (צי סיור),מרכז,03-550-1111,info@sunrise.co.il,25+
מוקד אמון (צי סיור),נתניה,*9103,info@amon.co.il,110+
צוות 3 (צי סיור),רחובות,073-801-1690,info@t3group.co.il,190+
G1 אבטחה (צי סיור),פתח תקווה,03-920-6666,info@g1-group.com,160+
בן בטחון (צי סיור),נתניה,1-700-709-707,info@ben-bitachon.co.il,75+
שלג לבן (צי רכב),נתניה,09-835-0111,info@sheleg.co.il,90+
عמישב (צי סיור),מרכז,03-605-2222,info@amishav.co.il,115+
מוקד השומרים (צי סיור),חולון,03-557-5222,info@hashomrim.co.il,90+
T&M ישראל (צי סיור),פתח תקווה,03-921-2244,info@tmisrael.co.il,180+
מוקד ח.א.ש (צי סיור),גדרה,08-859-4222,info@hash.co.il,65+
HFD שליחויות (צי רכב),פתח תקווה,03-924-4441,info@hfd.co.il,135+
צ'יטה שליחויות (צי),נתניה,073-217-1717,info@chita.co.il,160+
أביב שיגור (צי רכב),חולון,03-655-2222,info@aviv.co.il,115+
תפוז שליחויות (צי),פתח תקווה,03-532-9648,info@tapuz.co.il,85+
אוריאן (צי לוגיסטי),חולון,03-918-9100,info@orian.com,210+
פליינג קרגו (צי לוגיסטי),צריפין,03-975-2222,info@fci.co.il,280+
שגריר חילוץ (צי שטח),חולון,*3388,info@shagrir.co.il,170+
פמי פרימיום (צי שירות),מרכז,03-565-3535,info@femi.com,95+
דרכים חילוץ (צי שטח),מרכז,*2008,info@drachim.co.il,75+
זברה שירותי דרך (צי),מרכז,03-613-0000,info@zebra.co.il,40+
פזגז (צי טכנאים),פתח תקווה,03-920-4444,info@pazgas.co.il,135+
سופרגז (צי טכנאים),נתניה,09-830-8111,info@supergas.co.il,115+
אמישראגז (צי טכנאים),מרכז,*6252,info@amisragas.co.il,110+
ישראליפט מעליות (צי),חולון,03-558-0555,info@isralift.co.il,160+
שינדלר נחושתן (צי),פתח תקווה,03-926-0000,info@schindler.com,135+
טיסנקרופ מעליות (צי),חולון,03-558-8555,info@tk.co.il,115+
כור מעליות (צי שירות),בני ברק,03-617-1555,info@koresh.co.il,80+
אלדן (צי שינוע רכבים),ניר צבי,*3003,info@eldan.co.il,140+
שלמה סיקסט (צי שינוע),מרכז,*4944,info@shlomo.co.il,220+
אלבר (צי שינוע רכבים),חולון,*3100,info@albar.co.il,150+
אוויס (צי שינוע רכבים),לוד,*2722,info@avis.co.il,110+
הרץ (צי שינוע רכבים),פתח תקווה,*2000,info@hertz.co.il,120+
יינות ביתן (צי הפצה),מרכז,03-922-1111,info@ybitan.co.il,55+
ויקטורי (צי הפצה),מרכז,03-611-1111,info@victory.co.il,45+
רמי לוי (צי לוגיסטי),מרכז,03-611-1111,info@rami-levy.co.il,65+
יוחננוף (צי הפצה),רחובות,08-944-1111,info@yochananof.co.il,75+
מחסני השוק (צי הפצה),מרכז,03-922-1111,info@shuk.co.il,40+
حצי חינם (צי לוגיסטי),חולון,03-502-1111,info@hazi-hinam.co.il,45+
סופר-פארם (צי הפצה),מרכז,09-972-5000,info@super-pharm.co.il,65+
Be פארם (צי הפצה),מרכז,03-902-1111,info@be-pharm.co.il,25+
ליימן שליסל (צי הפצה),יבנה,08-932-4444,info@l-s.co.il,95+
דיפלומט (צי הפצה),מרכז,03-976-6666,info@diplomat.co.il,210+
אסם-נסטלה (צי הפצה),שוהם,03-928-2222,info@osem.co.il,360+
שטראוס (צי הפצה),פתח תקווה,*6860,info@strauss.co.il,410+
תנובה (צי הפצה),רחובות,*6666,info@tnuva.co.il,550+
קוקה קולה (צי הפצה),בני ברק,*5050,info@cbc.co.il,460+
טמפו (צי הפצה),נתניה,09-863-0600,info@tempo.co.il,160+
יפאורה תבורי (צי הפצה),רחובות,08-933-3333,info@jafora.co.il,145+
نביעות (צי הפצה),נתניה,*1800-222-222,info@neviot.co.il,135+
מי עדן (צי הפצה),מרכז,*5335,info@mey-eden.co.il,140+
סנו (צי לוגיסטי),הוד השרון,09-747-3222,info@sano.co.il,120+
יוניליוור (צי לוגיסטי),מרכז,1-800-780-780,info@unilever.co.il,150+
טבע לוגיסטיקה,שוהם,03-926-7267,info@teva.co.il,260+
نوולוג (צי רכב),מודיעין,08-914-6000,info@novolog.co.il,115+
מקורות (צי מרכז),חולון,03-623-7111,info@mekorot.co.il,380+
حברת החשמל (צי מחוז),ארצי,103,info@iec.co.il,1400+
בזק (צי טכנאים),מרכז,199,info@bezeq.co.il,1100+
הוט (צי טכנאים),מרכז,*6900,info@hot.net.il,550+
יס (YES) טכנאים,מרכז,*2080,info@yes.co.il,500+
סלקום (צי טכנאים),נתניה,*3123,info@cellcom.co.il,430+
فرטנר (צי טכנאים),ראש העין,*54,info@partner.co.il,390+
מכבי שירותי בריאות,מרכז,*3555,info@maccabi.co.il,170+
כללית (צי שינוע),מרכז,*2700,info@clalit.co.il,260+
"מד""א (צי רכב)",ארצי,101,info@mda.org.il,1000+
רכבת ישראל (צי),לוד,03-693-3411,info@rail.co.il,210+
نמל אשדוד (צי רכב),אשדוד,08-851-7111,info@ashdodport.co.il,160+
נתיבי ישראל (צי),אור יהודה,*2120,info@iroads.co.il,130+
נתיבי איילון (צי),תל אביב,03-762-2222,info@ayalon.co.il,75+
דואר ישראל (צי),ארצי,171,info@postil.com,850+
פיקוח נתניה,נתניה,09-860-3333,moked@netanya.muni.il,50+
"פיקוח ראשל""צ",ראשון לציון,03-963-4444,moked@rishon.muni.il,65+
"פיקוח פ""ת",פתח תקווה,03-905-2222,moked@ptikva.org.il,60+
פיקוח רחובות,רחובות,08-939-2106,moked@rehovot.muni.il,45+
עיריית חולון (צי),חולון,03-502-7222,moked@holon.muni.il,75+
עיריית חדרה (צי),חדרה,106,moked@hadera.muni.il,80+
עיריית בת ים (צי),בת ים,03-555-9111,moked@bat-yam.muni.il,55+
עיריית גדרה (צי),גדרה,08-859-3555,moked@gedera.muni.il,30+
מי אביבים (צי),תל אביב,03-762-1111,info@mei-avivim.co.il,60+
מי ראשון (צי),ראשון לציון,03-963-1111,info@mei-rishon.co.il,45+
מי פתח תקווה (צי),פתח תקווה,03-905-1111,info@mei-pt.co.il,45+
מי חולון (צי),חולון,03-502-1111,info@mei-holon.co.il,45+
מי רחובות (צי),רחובות,08-939-2106,info@mei-rehovot.co.il,35+
מי נתניה (צי),נתניה,1-800-20-20-84,info@mei-netanya.co.il,40+
מי לוד (צי),לוד,08-927-1111,info@mei-lod.co.il,30+
מי רמלה (צי),רמלה,08-927-2222,info@mei-ramla.co.il,30+
איחוד הצלה (צי),ארצי,1221,info@1221.org.il,70+
יד שרה (צי),מרכז,*6444,info@yadsarah.org.il,45+
عזר מציון (צי),מרכז,*2710,info@ami.org.il,55+
רשות הטבע והגנים,מרכז,*3639,info@npa.org.il,60+
"קק""ל (צי מרכז)",מרכז,1-800-350-550,info@kkl.org.il,65+
קבוצת גולקס (תשתיות),מרכז,03-902-1212,info@golex.co.il,45+
א.צ. טכנולוגיות איטום,קדימה,09-899-1882,info@az-tech.co.il,30+
טרמוקיר תעשיות,נתניה,09-863-8333,info@thermokir.co.il,35+
אפקון בקרה ואוטומציה,פתח תקווה,03-925-1333,info@afcon.co.il,120+
موקד אמון סיירת,נתניה,*9103,info@amon.co.il,110+
צוות 3 סיור,רחובות,073-801-1690,info@t3group.co.il,190+
בן בטחון סיור,נתניה,1-700-709-707,info@ben-bitachon.co.il,75+
G1 אבטחה וטכנולוגיות,פתח תקווה,03-920-6666,info@g1-group.com,160+
T&M ישראל סיור,פתח תקווה,03-921-2244,info@tmisrael.co.il,180+
HFD לוגיסטיקה והפצה,פתח תקווה,03-924-4441,info@hfd.co.il,135+
צ'יטה משלוחים,נתניה,073-217-1717,info@chita.co.il,160+
אביב שיגור והפצה,חולון,03-655-2222,info@aviv.co.il,115+
תפוז שליחויות לוגיסטיקה,פתח תקווה,03-532-9648,info@tapuz.co.il,85+
אוריאן שירותי מכס,חולון,03-918-9100,info@orian.com,210+
פליינג קרגו לוגיסטיקה,צריפין,03-975-2222,info@fci.co.il,280+
UPS ישראל הפצה,"נתב""ג",1-700-700-877,info@ups.co.il,160+
פדקס (FedEx) הפצה,"נתב""ג",1-700-700-333,info@fedex.co.il,140+
DHL ישראל הפצה,"נתב""ג",03-557-1111,info@dhl.com,130+
שגריר שירותי רכב,חולון,*3388,info@shagrir.co.il,170+
פמי פרימיום שירות,מרכז,03-565-3535,info@femi.com,95+
דרכים שירותי דרך,מרכז,*2008,info@drachim.co.il,75+
فזגז שירות לקוחות,פתח תקווה,03-920-4444,info@pazgas.co.il,135+
סופרגז שירות לקוחות,נתניה,09-830-8111,info@supergas.co.il,115+
אמישראגז שירות לקוחות,מרכז,*6252,info@amisragas.co.il,110+
ישראליפט שירות מעליות,חולון,03-558-0555,info@isralift.co.il,160+
שינדלר נחושתן שירות,פתח תקווה,03-926-0000,info@schindler.com,135+
טיסנקרופ שירות מעליות,חולון,03-558-8555,info@tk.co.il,115+
כור מעליות אחזקה,בני ברק,03-617-1555,info@koresh.co.il,80+
אלדן (צי שינוע),ניר צבי,*3003,info@eldan.co.il,140+
שלמה סיקסט (צי שינוע),מרכז,*4944,info@shlomo.co.il,220+
אלבר (צי שינוע),חולון,*3100,info@albar.co.il,150+
אוויס (צי שינוע),לוד,*2722,info@avis.co.il,110+
הרץ (צי שינוע),פתח תקווה,*2000,info@hertz.co.il,120+
אסם-נסטלה (צי סוכנים),שוהם,03-928-2222,info@osem.co.il,360+
שטראוס (צי סוכנים),פתח תקווה,*6860,info@strauss.co.il,410+
تנובה (צי סוכנים),רחובות,*6666,info@tnuva.co.il,550+
קוקה קולה (צי סוכנים),בני ברק,*5050,info@cbc.co.il,460+
טמפו (צי סוכנים),נתניה,09-863-0600,info@tempo.co.il,160+
יפאורה תבורי (צי),רחובות,08-933-3333,info@jafora.co.il,145+
נביעות (צי הפצה),נתניה,*1800-222-222,info@neviot.co.il,135+
מי עדן (צי הפצה),מרכז,*5335,info@mey-eden.co.il,140+
سנו (צי סוכנים),הוד השרון,09-747-3222,info@sano.co.il,120+
יוניליוור (צי סוכנים),מרכז,1-800-780-780,info@unilever.co.il,150+
טבע (צי סוכנים),שוהם,03-926-7267,info@teva.co.il,260+
מקורות (צי טכנאים),חולון,03-623-7111,info@mekorot.co.il,380+
حברת החשמל (צי טכנאים),מרכז,103,info@iec.co.il,1400+
בזק (צי טכנאים),מרכז,199,info@bezeq.co.il,1100+
הוט (צי טכנאים),מרכז,*6900,info@hot.net.il,550+
יס (YES) טכנאים,מרכז,*2080,info@yes.co.il,500+
סלקום (צי טכנאים),נתניה,*3123,info@cellcom.co.il,430+
فرטנר (צי טכנאים),ראש העין,*54,info@partner.co.il,390+
מכבי (צי שינוע),מרכז,*3555,info@maccabi.co.il,170+
כללית (צי שינוע),מרכז,*2700,info@clalit.co.il,260+
רכבת ישראל (צי שירות),לוד,03-693-3411,info@rail.co.il,210+
نמל אשדוד (צי שירות),אשדוד,08-851-7111,info@ashdodport.co.il,160+
נתיבי ישראל (צי שטח),אור יהודה,*2120,info@iroads.co.il,130+
דואר ישראל (צי),ארצי,171,info@postil.com,850+
פיקוח נתניה עירוני,נתניה,09-860-3333,moked@netanya.muni.il,50+
"פיקוח ראשל""צ עירוני",ראשון לציון,03-963-4444,moked@rishon.muni.il,65+
"פיקוח פ""ת עירוני",פתח תקווה,03-905-2222,moked@ptikva.org.il,60+
פיקוח רחובות עירוני,רחובות,08-939-2106,moked@rehovot.muni.il,45+
עיריית חולון שירות,חולון,03-502-7222,moked@holon.muni.il,75+
عיריית חדרה שירות,חדרה,106,moked@hadera.muni.il,80+
מי אביבים שירות שטח,תל אביב,03-762-1111,info@mei-avivim.co.il,60+
מי ראשון שירות שטח,ראשון לציון,03-963-1111,info@mei-rishon.co.il,45+
מי פתח תקווה שטח,פתח תקווה,03-905-1111,info@mei-pt.co.il,45+
מי חולון שירות שטח,חולון,03-502-1111,info@mei-holon.co.il,45+
מי רחובות שירות שטח,רחובות,08-939-2106,info@mei-rehovot.co.il,35+
מי נתניה שירות שטח,נתניה,1-800-20-20-84,info@mei-netanya.co.il,40+
איחוד הצלה ניידות,ארצי,1221,info@1221.org.il,70+
יד שרה שינוע,מרכז,*6444,info@yadsarah.org.il,45+
عזר מציון שינוע,מרכז,*2710,info@ami.org.il,55+
רשות הטבע והגנים,מרכז,*3639,info@npa.org.il,60+
"קק""ל (צי שטח מרכז)",מרכז,1-800-350-550,info@kkl.org.il,65+
אלמור חשמל (תשתיות),חדרה,04-637-4141,info@el-mor.co.il,110+
מנורה מערכות (שירות),חולון,03-557-7777,office@menora.co.il,55+
אוריאל ואיתמר (חשמל),נתניה,09-862-2211,office@uriel.co.il,45+
ביקור רופא (ניידות),מרכז,*6101,info@bikurofe.co.il,35+
טלפייר (Telefire),פתח תקווה,03-970-0400,info@telefire.com,35+
רשף בטיחות (שירות),חולון,03-559-9955,office@reshef.co.il,30+
קבוצת סקופ (Scope),גדרה,08-863-1000,info@scope.co.il,65+
עמרם אברהם בנייה,חדרה,04-634-1111,office@amram.co.il,55+
فرשקובסקי (הנדסה),ראשון לציון,03-961-3333,office@prashkovsky.co.il,35+
בוני התיכון הנדסה,מרכז,03-611-4444,info@bonay.co.il,25+
סופר-פארם לוגיסטיקה,מרכז,09-972-5000,info@super-pharm.co.il,60+
מאפה דה קוואליטי,מרכז,03-902-1111,info@quality.co.il,20+
عלית-שטראוס הפצה,מרכז,*6860,info@strauss.co.il,100+
אסם-סחר הפצה,שוהם,03-928-2222,info@osem.co.il,120+
שטראוס-מים שירות,מרכז,*6944,info@tami4.co.il,160+
אלקטרה-מיזוג שירות,"ראשל""צ",*1222,info@electra.co.il,200+
تדיראן-גרופ שירות,"פ""ת",*1700,info@tadiran.co.il,140+
ברימאג-שירות לקוחות,חולון,*3520,info@brimag.co.il,85+
ניופאן-שירות לקוחות,"ראשל""צ",1-700-700-727,info@newpan.co.il,95+
ח.י. אלקטרוניקה שירות,כפר סבא,*6680,info@hye.co.il,90+
קריסטל שירות לקוחות,מרכז,1-700-500-200,info@crystal.co.il,65+
מיניליין שירות שטח,"פ""ת",03-925-1111,info@miniline.com,75+
טורנדו שירות שטח,בני ברק,1-700-501-505,info@tornado.co.il,110+
אלקו התקנות (צי),"ראשל""צ",03-963-3333,info@elco.co.il,85+
משב הנדסת קירור,חולון,03-557-2222,info@mashav.com,80+
אקון הנדסה (שירות),נתניה,09-865-6444,info@acon.co.il,50+
منוליד חרות (צי),"פ""ת",03-921-2222,info@manolid.co.il,90+
לסיכו תשתיות (צי),חולון,03-557-0000,info@lesico.co.il,120+
אוליצקי הנדסה (צי),חולון,03-550-8000,info@olizki.co.il,140+
ישראליפט מעליות (צי),חולון,03-558-0555,info@isralift.co.il,160+
שינדלר מעליות (צי),"פ""ת",03-926-0000,info@schindler.com,135+
טיסנקרופ מעליות (צי),חולון,03-558-8555,info@tk.co.il,115+
פזגז טכנאים (צי),"פ""ת",03-920-4444,info@pazgas.co.il,135+
סופרגז טכנאים (צי),נתניה,09-830-8111,info@supergas.co.il,115+
אמישראגז טכנאים (צי),מרכז,*6252,info@amisragas.co.il,110+
סונול לוגיסטיקה (צי),נתניה,09-863-0000,info@sonol.co.il,95+
מקורות מרכז (צי),חולון,03-623-7111,info@mekorot.co.il,380+
חברת החשמל מרכז (צי),ארצי,103,info@iec.co.il,1400+
بזק טכנאים מרכז (צי),ארצי,199,info@bezeq.co.il,1100+
הוט טכנאים מרכז (צי),ארצי,*6900,info@hot.net.il,550+
יס (YES) טכנאים (צי),ארצי,*2080,info@yes.co.il,500+
סלקום טכנאים (צי),נתניה,*3123,info@cellcom.co.il,430+
فرטנר טכנאים (צי),ראש העין,*54,info@partner.co.il,390+
כללית שינוע מרכז (צי),ארצי,*2700,info@clalit.co.il,260+
"מד""א מרכז (צי)",ארצי,101,info@mda.org.il,1000+
رכבת ישראל שירות (צי),לוד,03-693-3411,info@rail.co.il,210+
נתיבי ישראל שטח (צי),ארצי,*2120,info@iroads.co.il,130+
דואר ישראל הפצה (צי),ארצי,171,info@postil.com,850+
פיקוח נתניה עירוני,נתניה,09-860-3333,moked@netanya.muni.il,50+
"פיקוח ראשל""צ עירוני","ראשל""צ",03-963-4444,moked@rishon.muni.il,65+
"פיקוח פ""ת עירוני","פ""ת",03-905-2222,moked@ptikva.org.il,60+
פיקוח רחובות עירוני,רחובות,08-939-2106,moked@rehovot.muni.il,45+
מי אביבים שטח (צי),"ת""א",03-762-1111,info@mei-avivim.co.il,60+
מי ראשון שטח (צי),"ראשל""צ",03-963-1111,info@mei-rishon.co.il,45+
מי פתח תקווה שטח (צי),"פ""ת",03-905-1111,info@mei-pt.co.il,45+
מי חולון שטח (צי),חולון,03-502-1111,info@mei-holon.co.il,45+
מי נתניה שטח (צי),נתניה,1-800-20-20-84,info@mei-netanya.co.il,40+
איחוד הצלה שטח (צי),ארצי,1221,info@1221.org.il,70+
יד שרה שינוע (צי),ארצי,*6444,info@yadsarah.org.il,45+
عזר מציון שינוע (צי),ארצי,*2710,info@ami.org.il,55+
רשות הטבע והגנים (צי),ארצי,*3639,info@npa.org.il,60+
"קק""ל שטח מרכז (צי)",מרכז,1-800-350-550,info@kkl.org.il,65+
קבוצת אלמור (צי),חדרה,04-637-4141,info@el-mor.co.il,110+
מנורה מערכות שירות,חולון,03-557-7777,info@menora.co.il,55+
אוריאל ואיתמר חשמל,נתניה,09-862-2211,info@uriel.co.il,45+
ביקור רופא ניידות,מרכז,*6101,info@bikurofe.co.il,35+
טלפייר (Telefire) צי,"פ""ת",03-970-0400,info@telefire.com,35+
רשף בטיחות שירות,חולון,03-559-9955,info@reshef.co.il,30+
סקופ (Scope) לוגי,גדרה,08-863-1000,info@scope.co.il,65+
עמרם אברהם בנייה,חדרה,04-634-1111,info@amram.co.il,55+
فرשקובסקי הנדסה,"ראשל""צ",03-961-3333,info@prashkovsky.co.il,35+
בוני התיכון הנדסה,מרכז,03-611-4444,info@bonay.co.il,25+
סופר-פארם לוגיסטיקה,מרכז,09-972-5000,info@super-pharm.co.il,60+
קבוצת נקש (ניהול ואחזקה),מרכז,03-608-1111,info@nakash.co.il,45+
מטיילי שרון (הסעות),נתניה,09-862-3333,info@hasharon.co.il,35+
א.צ. טכנולוגיות בנייה,קדימה,09-899-1882,info@az-tech.co.il,30+
י.ח דמרי (צי הנדסה),מרכז,08-944-1111,info@dimri.co.il,85+
צמח המרמן (פיקוח שטח),מרכז,03-608-5111,info@cmh.co.il,35+
תדהר בנייה (צי שירות),רעננה,*3655,info@tidhar.co.il,95+
קבוצת חג'ג' (ניהול),תל אביב,03-608-1111,info@haggag.co.il,30+
ישראל קנדה (אחזקה),מרכז,03-754-1111,info@canada-israel.com,40+
בוני התיכון (פיקוח),מרכז,03-611-4444,info@bonay.co.il,35+
"רוטשטיין נדל""ן (שירות)",נתניה,03-961-3333,info@rothstein.co.il,35+
أפריקה ישראל (צי רכב),יהוד,03-539-3333,info@africa-israel.com,120+
נכסי אריאל (ניהול ציים),מרכז,03-607-1111,info@ariel.co.il,45+
מליסרון (ניהול ואחזקה),מרכז,03-754-5454,info@melisron.co.il,55+
אמות השקעות (אחזקה),מרכז,03-576-0500,info@amot.co.il,50+
"מבנה נדל""ן (צי אחזקה)",מרכז,03-611-1111,info@mivne.co.il,65+
גב-ים (אחזקת מבנים),מרכז,03-608-1111,info@gav-yam.co.il,40+
קבוצת עזריאלי (אחזקה),תל אביב,03-608-1111,info@azrieli.com,60+
שיכון ובינוי (תשתיות),"נתב""ג",03-630-3333,info@shikun.co.il,280+
نתיבי איילון (פיקוח),מרכז,03-762-2222,info@ayalon.co.il,80+
